Razao;Codigo;Setor;Pais de Origem
MARSH & MCLENNAN COS INC;M1MC34;Serviços;EUA
MARTIN MARIETTA MATERIALS INC;M1LM34;Construção;EUA
MASCO CORP;M1AS34;Construção;EUA
MATCH GROUP INC;M1TC34;Comunicação;EUA
MAXIM INTEGRATED PRODUCTS INC;M1XI34;Semicondutores;EUA
MCCORMICK & CO INC;M1KC34;Alimentos;EUA
MCDONALDS;MCDC34;Restaurantes & Bares;EUA
MCKESSON CORP;M1CK34;Saúde;EUA
MEDTRONIC;MDTC34;Medicamentos e Outros Produtos;EUA
MELCO RESORTS & ENTERTAINMENT LTD;M1LC34;Hotelaria;Hong Kong
MERCADO LIVRE;MELI34;Comunicação;Argentina
MERCK;MRCK34;Farmacêuticos;EUA
METTLER-TOLEDO INTERNATIONAL INC;M1TD34;Instrumentos para laboratórios;EUA
MGM RESORTS ;M1GM34;Hóteis;EUA
MICROCHIP TE;M1CH34;Tecnologia;EUA
MICRON TECHN;MUTC34;Tecnologia;EUA
MICROSOFT;MSFT34;Semicondutor amplo;EUA
MID-AMERICA APARTMENT COMMUNITIES INC;M1AA34;Fundo de investimento imobiliário;EUA
MITSUBISHI UFJ FINANCIAL GROUP INC;M1UF34;Financeiro;Japan
MOBILE TELESYSTEMS PJSC;M1BT34;Comunicação;Russian Federation
MODERNA INC;M1RN34;Farmacêutico;EUA
MOHAWK INDUSTRIES INC;M1HK34;Tecnologia;EUA
MOLSON COORS BREWING CO;M1CB34;Bebidas;EUA
MONDELEZ INT ;MDLZ34;Consumo;EUA
MONGODB INC;M1DB34;Tecnologia;EUA
MONSTER BEVERAGE CORP;M1NS34;Bebidas;EUA
MOODY’S CORP;MCOR34;Serviços Financeiros ;EUA
MOSAIC CO;MOSC34;Materiais Básicos ;EUA
MOTOROLA SOLUTIONS INC;M1SI34;Construção;EUA
MSCI INC;M1SC34;Serviços Financeiros ;EUA
NASDAQ INC;N1DA34;Serviços Financeiros ;EUA
NATIONAL GRID PLC;N1GG34;Utilidades;Reino Unido
